Date,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts,Index Future Net,Index Call Net,Index Put Net,Index Net Long,Stock Future Net,Stock Call Net,Stock Put Net,Stock Net Long
03-01-2020,Pro,13649,30119,135417,76760,151330,163829,183362,190529,46692,60018,79526,37865,570935,598161,-16470,-32032,-26700,-21802,58657,-32834,22153,3670
03-01-2020,TOTAL,237581,237581,1854187,1854187,817241,975083,817241,975083,242770,163710,242770,163710,4290572,4290572,0,0,0,0,0,0,0,0
03-02-2020,Client,161384,89075,775892,187003,896011,515513,720628,734303,251457,85977,169355,122122,2686234,2022486,72309,175383,-218790,466482,588889,82102,-36145,707136
03-02-2020,DII,45112,14793,30118,1044525,4317,72059,0,0,3365,0,49,0,154971,1059367,30319,4317,72059,-37423,-1014407,3316,0,-1011091
03-02-2020,FII,38761,146203,931422,604310,167034,290206,129786,105645,11143,13085,14750,9832,1451651,1010526,-107442,37248,184561,-254755,327112,-3607,3253,320252
03-02-2020,Pro,19805,14991,170341,71935,144970,168787,361918,206617,37730,72417,119541,39525,614050,814527,4814,-216948,-37830,-174304,98406,-81811,32892,-16297
03-02-2020,TOTAL,265062,265062,1907773,1907773,1212332,1046565,1212332,1046565,303695,171479,303695,171479,4906906,4906906,0,0,0,0,0,0,0,0
03-02-2021,Client,120648,116971,720891,161394,872952,1395878,845808,1308874,413562,167113,263916,205942,3691044,2902905,3677,27144,87004,-56183,559497,149646,-38829,747972
03-02-2021,DII,7025,42429,20786,799255,267,9853,0,0,0,65,1928,0,37996,843612,-35404,267,9853,-44990,-778469,-1928,65,-780462
03-02-2021,FII,80958,33784,662651,521137,235318,333980,188350,243687,24738,27156,44632,28571,1364801,1060161,47174,46968,90293,3849,141514,-19894,-1415,123035
03-02-2021,Pro,19767,35214,162610,85152,306344,378345,380723,565495,101182,130716,229006,90537,1098964,1386127,-15447,-74379,-187150,97324,77458,-127824,40179,-90545
03-02-2021,TOTAL,228398,228398,1566938,1566938,1414881,2118056,1414881,2118056,539482,325050,539482,325050,6192805,6192805,0,0,0,0,0,0,0,0
03-03-2020,Client,191248,94318,724120,176056,658463,536279,649297,766933,199376,83761,142614,115061,2393247,1944279,96930,9166,-230654,336750,548064,56762,-31300,636126
03-03-2020,DII,31638,9266,38710,1027374,18651,74975,0,0,0,0,1328,0,163974,1037968,22372,18651,74975,-33952,-988664,-1328,0,-989992
03-03-2020,FII,40315,151315,888852,543512,193114,354588,108299,131430,13651,12750,12494,10314,1503270,957364,-111000,84815,223158,-249343,345340,1157,2436,344061
03-03-2020,Pro,17643,25945,158118,62858,171671,171009,284303,238488,37861,73139,94452,44275,629441,750321,-8302,-112632,-67479,-53455,95260,-56591,28864,9805
03-03-2020,TOTAL,280844,280844,1809800,1809800,1041899,1136851,1041899,1136851,250888,169650,250888,169650,4689932,4689932,0,0,0,0,0,0,0,0
03-03-2021,Client,149089,140421,755497,175059,958073,1262901,970701,1265255,420405,147068,278240,214113,3693033,3043789,8668,-12628,-2354,-1606,580438,142165,-67045,789648
03-03-2021,DII,582,35730,28474,828959,267,11885,0,0,0,0,10197,0,41208,874886,-35148,267,11885,-46766,-800485,-10197,0,-810682
03-03-2021,FII,80262,42902,649914,518673,242539,355072,175087,233157,31710,30558,37451,29227,1390055,1036497,37360,67452,121915,-17103,131241,-5741,1331,124169
03-03-2021,Pro,20524,31404,175905,87099,340319,360474,395410,491920,94192,140117,220419,74403,1131531,1300655,-10880,-55091,-131446,65475,88806,-126227,65714,-103135
03-03-2021,TOTAL,250457,250457,1609790,1609790,1541198,1990332,1541198,1990332,546307,317743,546307,317743,6255827,6255827,0,0,0,0,0,0,0,0
03-04-2020,Client,87037,76006,328992,135128,395898,334016,400500,429628,97941,53519,81412,49977,1297403,1172651,11031,-4602,-95612,102041,193864,16529,3542,206851
03-04-2020,DII,51868,3854,49357,820900,4530,62007,0,0,0,0,1293,0,167762,826047,48014,4530,62007,-9463,-771543,-1293,0,-772836
03-04-2020,FII,38518,97001,976016,420187,128626,160559,91618,94030,4186,4988,2877,4512,1312893,710225,-58483,37008,66529,-88004,555829,1309,476,556662
03-04-2020,Pro,20912,21474,78449,56599,95686,99480,132622,132404,33000,30444,49545,34462,357971,427106,-562,-36936,-32924,-4574,21850,-16545,-4018,9323
03-04-2020,TOTAL,198335,198335,1432814,1432814,624740,656062,624740,656062,135127,88951,135127,88951,3136029,3136029,0,0,0,0,0,0,0,0
03-06-2020,Client,94929,137935,414048,193906,594633,881306,561101,858385,176983,138735,154083,111957,2300634,2017367,-43006,33532,22921,-32395,220142,22900,26778,216264
03-06-2020,DII,33434,11380,63223,902271,4584,68105,0,0,13,0,426,0,169359,914077,22054,4584,68105,-41467,-839048,-413,0,-839461
03-06-2020,FII,80182,47587,1053551,474462,192513,221436,131467,154182,12571,14372,17309,18758,1574625,843765,32595,61046,67254,26387,579089,-4738,-4386,578737
03-06-2020,Pro,24020,35663,129603,89786,193930,201257,293092,359537,92441,68986,110190,91378,710237,979646,-11643,-99162,-158280,47475,39817,-17749,-22392,44460
03-06-2020,TOTAL,232565,232565,1660425,1660425,985660,1372104,985660,1372104,282008,222093,282008,222093,4754855,4754855,0,0,0,0,0,0,0,0
03-06-2021,Client,113266,149523,1056403,160385,572146,709696,636597,843375,670763,212317,397412,305646,3334591,2492938,-36257,-64451,-133679,32971,896018,273351,-93329,1262698
03-06-2021,DII,2231,41546,32941,1084079,267,41269,0,0,0,0,46865,0,76708,1172490,-39315,267,41269,-80317,-1051138,-46865,0,-1098003
03-06-2021,FII,100607,17134,693534,684502,179864,258665,86114,143091,46854,52208,79449,42753,1331732,1053043,83473,93750,115574,61649,9032,-32595,9455,-33018
03-06-2021,Pro,14050,21951,227440,81352,180356,219549,209922,242713,148043,202520,341934,118646,991958,1016518,-7901,-29566,-23164,-14303,146088,-193891,83874,-131677
03-06-2021,TOTAL,230154,230154,2010318,2010318,932633,1229179,932633,1229179,865660,467045,865660,467045,5734989,5734989,0,0,0,0,0,0,0,0
03-07-2020,Client,129469,123380,423813,223298,543542,672609,557377,727668,252984,121122,185861,131944,2143539,1949528,6089,-13835,-55059,47313,200515,67123,-10822,278460
03-07-2020,DII,19577,20524,35984,812738,287,41463,0,0,0,0,5288,0,97311,838550,-947,287,41463,-42123,-776754,-5288,0,-782042
03-07-2020,FII,50589,46889,925699,399500,153304,195218,119381,130171,20041,17565,29108,18082,1362416,743131,3700,33923,65047,-27424,526199,-9067,-517,517649
03-07-2020,Pro,20286,29128,122640,72600,216635,216925,237010,268376,83862,85420,136630,74081,745768,817825,-8842,-20375,-51451,22234,50040,-52768,11339,-14067
03-07-2020,TOTAL,219921,219921,1508136,1508136,913768,1126215,913768,1126215,356887,224107,356887,224107,4349034,4349034,0,0,0,0,0,0,0,0
03-08-2020,Client,105523,102121,505128,152888,850412,634901,739899,763045,287414,98871,180620,140867,2482249,2079440,3402,110513,-128144,242059,352240,106794,-41996,501030
03-08-2020,DII,13164,30159,23172,776805,267,38539,0,0,0,0,2264,0,75142,809228,-16995,267,38539,-55267,-753633,-2264,0,-755897
